source,source_id,title,description,annex_domain,actor_role,system_pattern,rights,harms,notes,llm_annex_domain,llm_system_pattern,llm_rights,llm_harms
AIAAIC,AIAAIC0939,Iarpa Janus Benchmark-C (IJP-C) dataset,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/iarpa-janus-benchmark-c-ijp-c-dataset Privacy/surveillance; Dual/multi-use Privacy loss Iarpa Janus Benchmark-C (IJP-C) dataset,unknown,deployer,unknown,other,privacy_breach,Auto annotation v0.4 rule-based,unknown,unknown,other,other
AIAAIC,AIAAIC0890,India Human Efficiency Tracking System sanitation worker surveillance,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/india-human-efficiency-tracking-sanitation-worker-surveillance Accuracy/reliability; Accountability; Bias/discrimination; Employment; Privacy Privacy loss India Human Efficiency Tracking System sanitation worker surveillance,employment,deployer,unknown,non_discrimination;privacy_data_protection;good_administration,unfair_exclusion;privacy_breach,Auto annotation v0.4 rule-based,unknown,unknown,other,other
AIAAIC,AIAAIC0136,"Amazon employees, investors protest US government Rekognition sales","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/amazon-employees-protest-us-govt-rekognition-sales Accuracy/reliability; Bias/discrimination; Human/civil rights; Privacy/surveillance Discrimination; Privacy loss Amazon employees, investors protest US government Rekognition sales",employment,deployer,unknown,non_discrimination;privacy_data_protection,unfair_exclusion;privacy_breach,Auto annotation v0.4 rule-based,essential_services,not_llm,privacy_data_protection;non_discrimination,unfair_exclusion;privacy_breach
AIAAIC,AIAAIC1970,"Sweden fraud prediction algorithm found to discriminate against women, migrants","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/sweden-fraud-prediction-algorithm-found-to-discriminate-against-women Accountability; Bias/discrimination; Privacy/surveillance; Transparency  Sweden fraud prediction algorithm found to discriminate against women, migrants",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion;privacy_breach;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,not_llm,non_discrimination;privacy_data_protection;access_social_protection,unfair_exclusion;privacy_breach
AIAAIC,AIAAIC1986,North Korea uses AI to covertly place IT workers in western tech companies,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/north-korea-uses-ai-to-place-it-workers-in-western-tech-companies Confidentiality; Authenticity/integrity; Employment; Security; Transparency  North Korea uses AI to covertly place IT workers in western tech companies,employment,deployer,unknown,non_discrimination;privacy_data_protection;good_administration,procedural_unfairness,Auto annotation v0.4 rule-based,unknown,unknown,other,other
AIAAIC,AIAAIC025,Starbucks automated shift scheduling system ruins employees' lives,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/starbucks-automated-shift-scheduling Alignment; Autonomy; Employment  Starbucks automated shift scheduling system ruins employees' lives,employment,deployer,unknown,non_discrimination;privacy_data_protection,other,Auto annotation v0.4 rule-based,employment,unknown,non_discrimination;good_administration,unfair_exclusion;procedural_unfairness
AIAAIC,AIAAIC0612,UK Post Office Horizon payment system,"https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uk-post-office-scandal Accuracy/reliability; Ethics/values; Employment - jobs, pay  UK Post Office Horizon payment system",employment,deployer,unknown,non_discrimination;privacy_data_protection,other,Auto annotation v0.4 rule-based,unknown,not_llm,good_administration;access_social_protection,misinformation_error;procedural_unfairness
AIAAIC,AIAAIC1326,NYPD ends Knightscope K5 security robot trial,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/nypd-ends-knightscope-k5-security-robot-trial Privacy/surveillance Privacy loss NYPD ends Knightscope K5 security robot trial,unknown,deployer,unknown,other,privacy_breach,Auto annotation v0.4 rule-based,essential_services,not_llm,privacy_data_protection,privacy_breach
AIAAIC,AIAAIC1051,Malta ditches 'Safe City' video surveillance programme,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/malta-safe-city-video-surveillance Alignment; Privacy/surveillance; Transparency  Malta ditches 'Safe City' video surveillance programme,unknown,deployer,unknown,good_administration,privacy_breach;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,unknown,privacy_data_protection;good_administration,privacy_breach
AIAAIC,AIAAIC0556,NYPD 'digidog' hostage response draws complaints,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/nypd-digidog Bias/discrimination; Dual use; Privacy/surveillance  NYPD 'digidog' hostage response draws complaints,unknown,deployer,unknown,non_discrimination,unfair_exclusion;privacy_breach,Auto annotation v0.4 rule-based,essential_services,unknown,privacy_data_protection;non_discrimination,unfair_exclusion;privacy_breach
AIAAIC,AIAAIC0534,Rikers Island prisoner risk classification system increases violence,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/rikers-island-prisoner-risk-classification-system-increases-violence-50 Accuracy/reliability  Rikers Island prisoner risk classification system increases violence,unknown,deployer,unknown,other,other,Auto annotation v0.4 rule-based,essential_services,not_llm,non_discrimination;access_social_protection;good_administration,unfair_exclusion;misinformation_error
AIAAIC,AIAAIC0441,Suzhou algorithmic social 'civility score' withdrawn after backlash,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/suzhou-social-civility-score-trial Fairness; Privacy/surveillance  Suzhou algorithmic social 'civility score' withdrawn after backlash,unknown,deployer,unknown,other,privacy_breach,Auto annotation v0.4 rule-based,essential_services,not_llm,privacy_data_protection;non_discrimination;good_administration,privacy_breach;unfair_exclusion
AIAAIC,AIAAIC057,LAPD predictive policing,Accuracy/reliability; Effectiveness/value; Bias/discrimination  LAPD predictive policing,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,unknown,non_discrimination;privacy_data_protection;good_administration,unfair_exclusion;misinformation_error
AIAAIC,AIAAIC056,LAPD 'hot spot' predictive policing,Accuracy/reliability; Bias/discrimination  LAPD 'hot spot' predictive policing,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion,Auto annotation v0.4 rule-based,essential_services,not_llm,non_discrimination;privacy_data_protection;good_administration,unfair_exclusion;misinformation_error
AIAAIC,AIAAIC2087,"Study: Uber dynamic pricing increases passenger fares, lowers driver earnings","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/uber-dynamic-pricing-increases-passenger-fares-lowers-driver-earnings Accountability; Autonomy/agency; Employment; Environment; Fairness; Transparency  Study: Uber dynamic pricing increases passenger fares, lowers driver earnings",employment,deployer,unknown,non_discrimination;privacy_data_protection;good_administration,procedural_unfairness,Auto annotation v0.4 rule-based,employment,not_llm,non_discrimination;good_administration,unfair_exclusion;procedural_unfairness
AIAAIC,AIAAIC2078,"Brian Cranston voice, likeness used without consent to train Sora video generation tool","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/brian-cranston-voice-likeness-used-without-consent-to-train-sora Accountability; Autonomy/agency; Copyright; Personality rights; Transparency Autonomy/agency loss; IP/copyright loss; Financial loss; Personality rights loss Brian Cranston voice, likeness used without consent to train Sora video generation tool",unknown,deployer,unknown,good_administration,procedural_unfairness,Auto annotation v0.4 rule-based,unknown,not_llm,privacy_data_protection,privacy_breach
AIAAIC,AIAAIC2049,Deloitte Australia fined for AI error-strewn government report,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/deloitte-australia-fined-for-ai-error-strewn-government-report Accuracy/reliability; Mis/disinformation; Transparency  Deloitte Australia fined for AI error-strewn government report,unknown,deployer,unknown,good_administration,misinformation_error;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,llm_decision_support,good_administration;privacy_data_protection,misinformation_error;procedural_unfairness
AIAAIC,AIAAIC2003,White House chief of staff targeted in AI-powered security breach,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/white-house-chief-of-staff-targeted-in-ai-powered-security-breach Confidentiality; Privacy/surveillance; Security Privacy loss White House chief of staff targeted in AI-powered security breach,employment,deployer,unknown,non_discrimination;privacy_data_protection,privacy_breach,Auto annotation v0.4 rule-based,unknown,unknown,privacy_data_protection,privacy_breach
AIAAIC,AIAAIC1962,Brazilian AI-powered welfare app accused of unfairly denying claims,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/brazil-ai-powered-welfare-app-accused-of-unfairly-denying-claims Accessibility; Accountability; Accuracy/reliability; Bias/discrimination; Transparency  Brazilian AI-powered welfare app accused of unfairly denying claims,essential_services,deployer,unknown,access_social_protection;privacy_data_protection;good_administration;non_discrimination,unfair_exclusion;procedural_unfairness,Auto annotation v0.4 rule-based,essential_services,unknown,access_social_protection;non_discrimination;good_administration,unfair_exclusion;procedural_unfairness
AIAAIC,AIAAIC1935,White House appears to use AI to calculate tariff rates,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/white-house-appears-to-use-ai-to-calculate-tariff-rates Accountability; Accuracy/reliability; Employment; Transparency  White House appears to use AI to calculate tariff rates,employment,deployer,unknown,non_discrimination;privacy_data_protection;good_administration,procedural_unfairness,Auto annotation v0.4 rule-based,unknown,unknown,good_administration,misinformation_error
AIAAIC,AIAAIC1923,Optifye roasted for shop floor AI surveillance,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/optifye-roasted-for-shop-floor-ai-surveillance Autonomy/agency; Employment; Privacy/surveillance; Transparency  Optifye roasted for shop floor AI surveillance,employment,deployer,unknown,non_discrimination;privacy_data_protection;good_administration,privacy_breach;procedural_unfairness,Auto annotation v0.4 rule-based,employment,unknown,privacy_data_protection;non_discrimination,privacy_breach
AIAAIC,AIAAIC1855,Taiwanese AI repeats Chinese government line,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/taiwanese-ai-repeats-chinese-government-line Accuracy/reliability  Taiwanese AI repeats Chinese government line,unknown,deployer,unknown,other,other,Auto annotation v0.4 rule-based,unknown,unknown,privacy_data_protection;good_administration,misinformation_error
AIAAIC,AIAAIC1820,"Report: Denmark AI welfare system ""profoundly affects"" mental health","https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/report-denmark-ai-welfare-system-profoundly-affects-mental-health Accuracy/reliability; Bias/discrimination; Privacy/surveillance  Report: Denmark AI welfare system ""profoundly affects"" mental health",essential_services,deployer,unknown,access_social_protection;privacy_data_protection;non_discrimination,unfair_exclusion;privacy_breach,Auto annotation v0.4 rule-based,unknown,unknown,other,other
AIAAIC,AIAAIC1809,Nevada AI student risk model prompts funding controversy,https://www.aiaaic.org/aiaaic-repository/ai-algorithmic-and-automation-incidents/nevada-ai-student-risk-model-prompts-funding-controversy Fairness Anxiety/distress; Self-harm Nevada AI student risk model prompts funding controversy,essential_services,deployer,unknown,access_social_protection;privacy_data_protection,other,Auto annotation v0.4 rule-based,essential_services,unknown,non_discrimination;access_social_protection;good_administration,unfair_exclusion
ECtHR,10012/03,CASE OF HALMAGIU AND BELLU v. ROMANIA,Case: CASE OF HALMAGIU AND BELLU v. ROMANIA; Articles: P1; Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property; Keywords: discrimination; social benefits,essential_services,deployer,not_llm,non_discrimination;access_social_protection,procedural_unfairness,ECtHR rights backbone,unknown,unknown,other,other
ECtHR,10108/02,CASE OF TETU v. ROMANIA,Case: CASE OF TETU v. ROMANIA; Articles: P1; Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property; Keywords: discrimination; social benefits,essential_services,deployer,not_llm,non_discrimination;access_social_protection,procedural_unfairness,ECtHR rights backbone,unknown,unknown,other,other
ECtHR,10122/04,CASE OF GURGACH v. RUSSIA,Case: CASE OF GURGACH v. RUSSIA; Articles: P1; Conclusion: Violation of Article 6 - Right to a fair trial (Article 6 - Enforcement proceedings;Article 6-1 - Access to court);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions); Keywords: discrimination; social benefits,essential_services,deployer,not_llm,non_discrimination;access_social_protection,procedural_unfairness,ECtHR rights backbone,essential_services,unknown,access_social_protection;good_administration;non_discrimination,procedural_unfairness;unfair_exclusion
ECtHR,10143/07,CASE OF SOCIEDADE AGRICOLA DO AMEIXIAL; S.A v. PORTUGAL,Case: CASE OF SOCIEDADE AGRICOLA DO AMEIXIAL; S.A v. PORTUGAL; Articles: P1; Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions); Keywords: discrimination; social benefits,essential_services,deployer,not_llm,non_discrimination;access_social_protection,procedural_unfairness,ECtHR rights backbone,unknown,unknown,other,other
ECtHR,10230/05,CASE OF SERSESCU v. ROMANIA,Case: CASE OF SERSESCU v. ROMANIA; Articles: P1; Conclusion: Violation of Article 6 - Right to a fair trial;Violation of Article 1 of Protocol No. 1 - Protection of property; Keywords: discrimination; social benefits,essential_services,deployer,not_llm,non_discrimination;access_social_protection,procedural_unfairness,ECtHR rights backbone,unknown,unknown,other,other
ECtHR,10245/02,CASE OF MOSOIU AND PASARIN v. ROMANIA,Case: CASE OF MOSOIU AND PASARIN v. ROMANIA; Articles: P1; Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property; Keywords: discrimination; social benefits,essential_services,deployer,not_llm,non_discrimination;access_social_protection,procedural_unfairness,ECtHR rights backbone,unknown,unknown,other,other
ECtHR,10250/02,CASE OF ALİ TAŞ v. TURKEY,Case: CASE OF ALİ TAŞ v. TURKEY; Articles: P1; Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property; Keywords: discrimination; social benefits,essential_services,deployer,not_llm,non_discrimination;access_social_protection,procedural_unfairness,ECtHR rights backbone,unknown,unknown,other,other
ECtHR,10319/04,CASE OF ANDRIANOVA AND OTHERS  v. UKRAINE,Case: CASE OF ANDRIANOVA AND OTHERS  v. UKRAINE; Articles: P1; Conclusion: Violation of Article 6 - Right to a fair trial (Article 6 - Enforcement proceedings;Article 6-1 - Access to court);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions);Violation of Article 13 - Right to an effective remedy (Article 13 - Effective remedy); Keywords: discrimination; social benefits,essential_services,deployer,not_llm,non_discrimination;access_social_protection,procedural_unfairness,ECtHR rights backbone,unknown,unknown,other,other
ECtHR,10346/03;10893/04,CASE OF DICKMANN AND GION v. ROMANIA,Case: CASE OF DICKMANN AND GION v. ROMANIA; Articles: P1; Conclusion: Preliminary objection dismissed (Art. 35) Admissibility criteria;(Art. 35-1) Exhaustion of domestic remedies;Remainder inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Manifestly ill-founded;Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Deprivation of property;Peaceful enjoyment of possessions);Pecuniary and non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Pecuniary damage;Just satisfaction); Keywords: discrimination; social benefits,essential_services,deployer,not_llm,non_discrimination;access_social_protection,procedural_unfairness,ECtHR rights backbone,unknown,unknown,other,other
ECtHR,10368/05,CASE OF MIGALSKA v. POLAND,Case: CASE OF MIGALSKA v. POLAND; Articles: P1; Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions); Keywords: discrimination; social benefits,essential_services,deployer,not_llm,non_discrimination;access_social_protection,procedural_unfairness,ECtHR rights backbone,unknown,unknown,other,other
ECtHR,10441/06,CASE OF PICHKUR v. UKRAINE,Case: CASE OF PICHKUR v. UKRAINE; Articles: 14; Conclusion: Preliminary objection dismissed (Article 35-1 - Six month period);Remainder inadmissible;Violation of Article 14+P1-1 - Prohibition of discrimination (Article 14 - Discrimination) (Article 1 of Protocol No. 1 - Protection of property;Article 1 para. 1 of Protocol No. 1 - Possessions);Pecuniary and non-pecuniary damage - award; Keywords: discrimination; social benefits,essential_services,deployer,not_llm,non_discrimination;access_social_protection,procedural_unfairness,ECtHR rights backbone,unknown,unknown,other,other
ECtHR,1046/12,CASE OF ZAMMIT AND ATTARD CASSAR v. MALTA,Case: CASE OF ZAMMIT AND ATTARD CASSAR v. MALTA; Articles: P1; Conclusion: Remainder inadmissible;Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 2 of Protocol No. 1 - Control of the use of property);Pecuniary damage - award (Article 41 - Pecuniary damage;Just satisfaction); Keywords: discrimination; social benefits,essential_services,deployer,not_llm,non_discrimination;access_social_protection,procedural_unfairness,ECtHR rights backbone,essential_services,unknown,non_discrimination;access_social_protection,unfair_exclusion
ECtHR,10535/09,CASE OF INDERKINY v. RUSSIA,Case: CASE OF INDERKINY v. RUSSIA; Articles: P1; Conclusion: Violation of Article 6 - Right to a fair trial (Article 6 - Enforcement proceedings;Article 6-1 - Access to court);Violation of Article 13+6 - Right to an effective remedy (Article 13 - Effective remedy) (Article 6 - Right to a fair trial;Enforcement proceedings;Article 6-1 - Access to court);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions); Keywords: discrimination; social benefits,essential_services,deployer,not_llm,non_discrimination;access_social_protection,procedural_unfairness,ECtHR rights backbone,essential_services,unknown,access_social_protection;good_administration;non_discrimination,procedural_unfairness;unfair_exclusion
ECtHR,10543/02,CASE OF VACARENCU v. MOLDOVA,Case: CASE OF VACARENCU v. MOLDOVA; Articles: P1; Conclusion: Violation of Article 1 of Protocol No. 1 - Protection of property;Violation of Article 6 - Right to a fair trial; Keywords: discrimination; social benefits,essential_services,deployer,not_llm,non_discrimination;access_social_protection,procedural_unfairness,ECtHR rights backbone,unknown,unknown,other,other
ECtHR,10557/03,CASE OF GIGLI COSTRUZIONI S.R.L. v. ITALY,Case: CASE OF GIGLI COSTRUZIONI S.R.L. v. ITALY; Articles: P1; Conclusion: Violation of Article 6 - Right to a fair trial;Violation of Article 1 of Protocol No. 1 - Protection of property; Keywords: discrimination; social benefits,essential_services,deployer,not_llm,non_discrimination;access_social_protection,procedural_unfairness,ECtHR rights backbone,unknown,unknown,other,other
ECtHR,10613/16,CASE OF SHARXHI AND OTHERS v. ALBANIA,Case: CASE OF SHARXHI AND OTHERS v. ALBANIA; Articles: P1; Conclusion: Preliminary objections joined to merits and dismissed (Art. 35) Admissibility criteria;(Art. 35-1) Exhaustion of domestic remedies;(Art. 35-1) Effective domestic remedy;Remainder inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Manifestly ill-founded;Violation of Article 13+6-1 - Right to an effective remedy (Article 13 - Effective remedy) (Article 6-1 - Access to court;Fair hearing;Article 6 - Administrative proceedings;Right to a fair trial);Violation of Article 6 - Right to a fair trial (Article 6 - Administrative proceedings;Article 6-1 - Access to court;Fair hearing);Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for home);Violation of Article 13+8 - Right to an effective remedy (Article 13 - Effective remedy) (Article 8-2 - Interference;In accordance with the law;Article 8-1 - Respect for home;Article 8 - Right to respect for private and family life);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions);Violation of Article 13+P1-1 - Right to an effective remedy (Article 13 - Effective remedy) (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions;Prescribed by law;Interference;Article 1 of Protocol No. 1 - Protection of property);Violation of Article 13+P1-1 - Right to an effective remedy (Article 13 - Effective remedy) (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions;Interference;Article 1 of Protocol No. 1 - Protection of property);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Deprivation of property;Peaceful enjoyment of possessions);Pecuniary and non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Pecuniary damage;Just satisfaction); Keywords: discrimination; social benefits,essential_services,deployer,not_llm,non_discrimination;access_social_protection,procedural_unfairness,ECtHR rights backbone,essential_services,unknown,access_social_protection;good_administration;privacy_data_protection,procedural_unfairness;unfair_exclusion
ECtHR,1065/06,CASE OF ELLIS v. TURKEY,Case: CASE OF ELLIS v. TURKEY; Articles: P1; Conclusion: Violation of Article 6 - Right to a fair trial (Article 6 - Enforcement proceedings;Article 6-1 - Access to court);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions); Keywords: discrimination; social benefits,essential_services,deployer,not_llm,non_discrimination;access_social_protection,procedural_unfairness,ECtHR rights backbone,essential_services,unknown,access_social_protection;good_administration;non_discrimination,procedural_unfairness;unfair_exclusion
ECtHR,10652/02;12373/06;13553/06;21532/05;23003/06;23446/06;25473/06;28978/06;29693/06;29698/06;29699/06;29704/06;37211/05;6723/06,CASE OF COLLARILE AND OTHERS v. ITALY,Case: CASE OF COLLARILE AND OTHERS v. ITALY; Articles: P1; Conclusion: Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life);Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for correspondence);Violation of Article 13 - Right to an effective remedy (Article 13 - Effective remedy);Violation of Article 3 of Protocol No. 1 - Right to free elections-{general} (Article 3 of Protocol No. 1 - Stand for election;Vote);Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Reasonable time); Keywords: discrimination; social benefits,essential_services,deployer,not_llm,non_discrimination;access_social_protection,procedural_unfairness,ECtHR rights backbone,essential_services,unknown,privacy_data_protection;access_social_protection;non_discrimination;good_administration,unfair_exclusion;procedural_unfairness
ECtHR,10699/05,CASE OF PAULIK v. SLOVAKIA,Case: CASE OF PAULIK v. SLOVAKIA; Articles: 14; Conclusion: Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life);Violation of Article 14+8 - Prohibition of discrimination (Article 14 - Discrimination) (Article 8 - Right to respect for private and family life;Article 8-1 - Respect for private life);Non-pecuniary damage - finding of violation sufficient (Article 41 - Non-pecuniary damage;Just satisfaction); Keywords: discrimination; social benefits,essential_services,deployer,not_llm,non_discrimination;access_social_protection,procedural_unfairness,ECtHR rights backbone,unknown,unknown,other,other
ECtHR,10721/02,CASE OF HARRISON v. THE UNITED KINGDOM,Case: CASE OF HARRISON v. THE UNITED KINGDOM; Articles: 14; Conclusion: Violation of Article 14+P1-1 - Prohibition of discrimination (Article 1 of Protocol No. 1 - Protection of property); Keywords: discrimination; social benefits,essential_services,deployer,not_llm,non_discrimination;access_social_protection,procedural_unfairness,ECtHR rights backbone,essential_services,unknown,non_discrimination;access_social_protection,unfair_exclusion
